Name	N	N _mem,F	${\overline{{\mu }_{\alpha \star }}}_{F}$	${\overline{{\mu }_{\delta }}}_{F}$	N _mem,G	${\overline{{\mu }_{\alpha \star }}}_{G}$	${\overline{{\mu }_{\delta }}}_{G}$	sigma _mu,sys	
Antlia II	4889	${558.2}_{-25.2}^{+25.6}$	$-{0.093}_{-0.008}^{+0.008}$	${0.100}_{-0.009}^{+0.009}$	${414.7}_{-24.6}^{+24.9}$	$-{0.090}_{-0.009}^{+0.009}$	${0.100}_{-0.010}^{+0.010}$	0.016	
Aquarius II	51	${16.3}_{-1.8}^{+1.8}$	$-{0.170}_{-0.119}^{+0.113}$	$-{0.466}_{-0.095}^{+0.096}$	${14.3}_{-1.7}^{+2.1}$	$-{0.183}_{-0.122}^{+0.121}$	$-{0.446}_{-0.096}^{+0.099}$	0.022	
Bootes I	373	${167.9}_{-3.6}^{+3.5}$	$-{0.385}_{-0.017}^{+0.017}$	$-{1.068}_{-0.013}^{+0.013}$	${170.0}_{-4.5}^{+4.5}$	$-{0.387}_{-0.016}^{+0.017}$	$-{1.064}_{-0.013}^{+0.013}$	0.021	
Bootes II	88	${20.9}_{-0.9}^{+1.0}$	$-{2.426}_{-0.077}^{+0.080}$	$-{0.414}_{-0.061}^{+0.061}$	${20.2}_{-1.0}^{+1.1}$	$-{2.419}_{-0.080}^{+0.078}$	$-{0.413}_{-0.061}^{+0.061}$	0.022	
Bootes III	1073	${73.6}_{-5.7}^{+6.0}$	$-{1.176}_{-0.019}^{+0.019}$	$-{0.890}_{-0.015}^{+0.015}$	${90.8}_{-6.8}^{+7.1}$	$-{1.168}_{-0.018}^{+0.018}$	$-{0.890}_{-0.014}^{+0.014}$	0.018	
Bootes IV	43	${4.2}_{-0.8}^{+0.5}$	${0.469}_{-0.244}^{+0.180}$	${0.489}_{-0.255}^{+0.256}$	${4.1}_{-1.3}^{+0.5}$	${0.445}_{-0.433}^{+0.195}$	${0.500}_{-0.295}^{+0.311}$	0.021	
Canes Venatici I	322	${122.5}_{-1.4}^{+1.4}$	$-{0.096}_{-0.031}^{+0.030}$	$-{0.116}_{-0.020}^{+0.020}$	${120.5}_{-1.8}^{+1.8}$	$-{0.093}_{-0.030}^{+0.030}$	$-{0.114}_{-0.020}^{+0.020}$	0.021	
Canes Venatici II	15	${11.1}_{-0.6}^{+0.6}$	$-{0.124}_{-0.115}^{+0.117}$	$-{0.254}_{-0.080}^{+0.082}$	${11.8}_{-0.5}^{+1.1}$	$-{0.116}_{-0.109}^{+0.111}$	$-{0.264}_{-0.079}^{+0.080}$	0.023	
Carina	10273	${2043.4}_{-11.4}^{+11.5}$	${0.532}_{-0.006}^{+0.007}$	${0.127}_{-0.006}^{+0.006}$	${1952.8}_{-11.7}^{+11.8}$	${0.534}_{-0.007}^{+0.007}$	${0.124}_{-0.006}^{+0.006}$	0.020	
Carina II	5033	${60.4}_{-3.7}^{+3.7}$	${1.885}_{-0.019}^{+0.018}$	${0.133}_{-0.019}^{+0.019}$				0.021	
Carina III	5033	${9.5}_{-1.0}^{+1.3}$	${3.095}_{-0.041}^{+0.040}$	${1.395}_{-0.045}^{+0.045}$				0.022	
Centaurus I	282	${19.0}_{-1.8}^{+1.8}$	$-{0.074}_{-0.065}^{+0.062}$	$-{0.199}_{-0.055}^{+0.054}$	${17.9}_{-1.7}^{+1.8}$	$-{0.063}_{-0.065}^{+0.063}$	$-{0.198}_{-0.056}^{+0.056}$	0.022	
